species i phylogeny(levels:1-5) trophic_level depth_min d_low d_avg d_high d_max l_hatch l_mature_avg l_max_common pesc   vert   verm   ceph   crust   moll   shore   reef   shell   ocean   deep   bent   nect  cusp1 cusp2 Cx.exec Cx.four Cx.ang Cx(1:8) HMS HMT HMTx HDG Heterodonties_detailed(methods: 1-6: HMS.OCR, HMS.OAR, HMS.OIR, HMS.DFS, HMS.ANS, HMS.ASC, HMS.AND, HMS.OPC, HMT.OCR ... HDG.AND, HDG.OPC) group
 chan           1           1           1           1           1           1  0.70512820512820495             1570        1000         560         120          50          40         111         196           1           1           0           1           1           1           1  0.34762431043374298       0.44871860500907801        1.0000000000000000        1.0000000000000000        1.0000000000000000        1.0000000000000000        1.0000000000000000        6.5198542590205397E-002   1.0000000000000000       0.73424353523878005       0.18516456797311800       0.72171010047993800       0.77278132369614305       0.74291165313828700       0.37348566556693202       0.36831586972534502       0.60636320194606597       0.83046397383760295       0.59600178558366501       0.43948248407712798        2.2271069262537000E-002   5.3155913917662397E-002  0.29953876672300001       0.83772715301537104       0.74634269545524101       0.37779837320382798        1.8622830620837201E-002   1.3781922288828401E-002  0.21562224376796499        1.0000000000000000       0.85484333829138404       0.56979088691647495       0.12860158531272300       0.30364956333353599       0.78129383782228001       0.62917235605972099       0.65205214327886396       0.41893566149312100        1.4075408648538200E-002  0.10829042300293000       0.26321987011928699       0.62198274783279806       0.12498858330106601       0.65395607389148003        8.2675665559209993E-002  0.80821140840261996       0.40451499548951297       0.56672005361056899       0.12852856725691800     1
 hena           2           1           1           2           2           2  0.83333333333333304              700         600         345          90           1          42         132         180           1           1           0           1           2           2           1  0.89354486876720496       0.29427246309672800        2.0000000000000000       0.22087467767208899       0.31796276385746303       0.19081805920266801       0.25093129614150900       0.86667196871697605       0.31796276385746303       0.35943782747286301       0.15557428501256401       0.45809747194749900       0.43964783827420301       0.41906104589818799       0.82421516751906398       0.85359310193645599       0.82652585710776605       0.75597647778274102       0.70089110627747797       0.83095858253854404       0.84842424986696596       0.92444919480612397       0.88459139384252905       0.78234519251624401       0.87792851407178496       0.88527846059742699       0.83116634706309700       0.86667611667845401       0.87816398069172696       0.55834878886361194       0.69512117459399803       0.73097491945294102        1.0000000000000000        1.0000000000000000       0.97471025973604497       0.79227490006195500       0.77550262427744898       0.79349168826382899        1.0000000000000000        1.0000000000000000        1.0000000000000000       0.76260872219958797       0.88582161283854000       0.84851738906181895       0.85866881481109303       0.66148162763685103       0.99157008657868195       0.78708973753441103        1.0000000000000000     2
 hepe           3           1           1           2           2           2  0.70512820512820495             1000         450         315         180          27          26          90         140           1           1           0           1           3           3           1  0.83120370929624399       0.28164401012324902        3.0000000000000000       0.39373284204807402       0.51142572983720203       0.32541061295545998       0.46205507114068900        1.0000000000000000       0.51142572983720203       0.45608931119573798       0.19830589224060599       0.50478873285151304       0.52338659112134800       0.49475487838953303       0.82205310636773998       0.80461899195173103       0.87050334831151999        1.0000000000000000       0.89463464688586003        1.0000000000000000       0.59464570484852197       0.74322246692993599       0.69981581954212202       0.98705416247215705        1.0000000000000000        1.0000000000000000       0.51394063959681902       0.58218165766123098       0.74453749198018004       0.84715444245548499        1.0000000000000000       0.95596578079528705       0.71694986637317504       0.70295000024517296        1.0000000000000000        1.0000000000000000       0.95461361803553701        1.0000000000000000       0.60054536832941396       0.69154446170029504       0.74051880771222001       0.96487821562861997       0.67922799710685999       0.99568472082405202       0.61355326307941005       0.93437340775025701       0.80663328887278296       0.98487120601184597       0.67753621258064300     1
 ecbr           4           1           2           3           3           3  0.83333333333333304              900         900         625         350          10          45         175         310           1           1           0           1           4           5           2  0.33248623244831599       0.27928425933332401        4.0000000000000000       0.25052940750045999       0.31592065837118399       0.24891228725068301       0.25214652775023699        4.6568402928470497E-002  0.31592065837118399       0.42382696701738298        7.6775454243011396E-002  0.61184395489052101       0.58414343741435304       0.53993811977408601       0.34053457221172900       0.48274014758749101       0.39032432895434299       0.18137629300888700       0.49081444148626902       0.67806985952081500       0.26698387893390202       0.25643506824883000       0.16952789207167099       0.79816804653672502       0.76442076505384204       0.51860571774933095       0.27360836282797302       0.28923615477987102       0.25240183857720699       0.23490967109372901       0.54740143557342003       0.55305179916632696       0.33876328213320100       0.29297917868546902       0.37484060707391198       0.13255376734243801       0.54376670203291000       0.79132275112983796       0.19756304350305001       0.19024907348502801       0.13946205719663299       0.45008686467199099       0.23098227975146801       0.69373150977996600       0.27174878539501701       0.44512096861115902       0.33552768929752702       0.48921440683506201       0.17575805806156999     1
 sqdu           5           1           2           4           3           3  0.62179487179487203             1400         250         145          40           1          28          92         152           1           1           0           1           5           6           2  0.26991758937399601        0.0000000000000000        5.0000000000000000       0.34745032213803101        7.7460959379559796E-002  0.36113052400174900       0.33377012027431302        3.7308059799856998E-002   7.7460959379559796E-002  0.24248602216413401       0.12752875626331101       0.31437514090260799       0.44303507354647398       0.33329874553773903       0.26848818780324701       0.18805923041166001       0.48992383208901902       0.34943871757304901       0.54336246636977903       0.35873934492765502       0.10342622201208400       0.13433579594267100       0.12162657999424301       0.32745929736933899       0.43180116046588002       0.17377939316638899        7.2957592478844299E-002   7.5764214133160507E-002   4.6593724856345498E-002  0.54035760766077701       0.74650191529997900       0.49856338590662602       0.25332787396875500       0.39898412698786101       0.50180808271011301       0.28658428399959401       0.54306111173868798       0.38052461146843702        8.5605125898509604E-002  0.16786107717126100       0.15586932596748301       0.41718017629016102       0.11979619931633299       0.31101328366720299        6.5105177156116800E-002  0.59514096962246099       0.38470669455557699       0.40339000240223999       0.13644517634575101     1
 prja           6           1           3           5           4           4  0.70512820512820495              500         500         250           1           1          30          80         153           1           1           0           2           6           4           2  0.13956543805185700        0.0000000000000000        6.0000000000000000        5.4293434288396100E-002   2.7056511042375601E-002   9.2939948766759900E-002   1.5646919810032401E-002   1.4497558185881200E-002   2.7056511042375601E-002  0.34682926066608999        6.7328045251104002E-002  0.45328118628649100       0.45990604651195999       0.42000549782151297       0.10035420796531901        6.2372060679505500E-002  0.19892665826251399        9.3971456179304094E-002   5.7651775933950197E-002   8.2474140353484798E-002  0.12641030463951200       0.14452506444562899        9.7092506240032295E-002  0.11212404163560200        0.0000000000000000        5.1168564981594798E-002   8.1634811548786504E-002   8.0482785275323696E-002   4.8822160635725600E-002   9.5190911231547104E-002   6.3908222242692103E-002   8.8215564487915801E-002  0.25323769751431802       0.31994626159902700       0.37306129249958397        8.0173826250162006E-002  0.13542230250371501       0.16550456260293001       0.12378904317339499       0.20000658592321499       0.13249630785772201        7.8032457488913104E-002  0.12267595844172401        5.4430868872399098E-002   7.0313252486611896E-002   8.2438232654051702E-002  0.31541508387097600       0.12703356378560199       0.15209731231811099     1
 trka           7           1           3           6           5           4  0.73076923076923095              360         360         345         330         270           0          41          54           1           1           0           1           7           8           2  0.16949740646183600        0.0000000000000000        7.0000000000000000       0.27742600354242503       0.15465388383759299       0.33743808369952100       0.21741392338532900        3.8718035971664802E-002  0.15465388383759299       0.24778340123061399        4.6594794168917097E-002  0.33659823531945099       0.49976887159709898       0.36138350271572101       0.64006287110321602       0.56072014135017600       0.48497692671699499       0.30464568068828501       0.43323800448689398       0.39714594438058498       0.81718676618556196       0.88883008454718704       0.99933074633078300       0.44438779645340998       0.33205203525004701       0.26438985810684101       0.71801510882720498       0.70573158149674797       0.89974446796680396       0.15362974620192801       0.37819853019824001       0.45521964212548799       0.51286532737178303       0.52264136415662898       0.88730695024789796        0.0000000000000000       0.30865388560750900       0.27736313471662599       0.11031541783068700       0.17355171074839801       0.14710028986779700       0.37834320985192099       0.90178253235451100       0.34694322993676602       0.77449705276358605       0.32901597284188600       0.64093788059210399       0.19533900677471200       0.14365580614896101     2
 etmo           8           1           3           6           5           4  0.65384615384615397              860         655         450         240         200          15          39          46           1           1           0           1           8           7           2  0.59522196623237700       0.29133947930793203        8.0000000000000000       0.37374997135715499        8.9451719791768705E-002  0.57414606408240099       0.17335387863191001        3.0606237400475300E-002   8.9451719791768705E-002  0.49748334043583797        4.3109676261886498E-002  0.59934575534256895       0.68544516302699998       0.59409141960180201       0.32779342791336502       0.28640306654128600       0.40690705744855099       0.24840681489577601       0.73122743608446905       0.54419748158392300       0.11802941369810301       0.11404532807911399       0.21085409313880499       0.30825978753278299       0.59064776907301098       0.27970140598333898       0.18199418127416400       0.12677280532248700       0.23104245006193200       0.23920641911697799       0.84891952728728803       0.48808185845642399       0.18589528773863401       0.23831856157264900       0.44102069051933401       0.40853230279595998        1.0000000000000000       0.80317733796193602       0.39690730974206301       0.47217787659222998       0.49053697030207100       0.50794391085472301       0.14764294497200700       0.39286965419637698       0.17993647888619399       0.52540260162023000       0.28841151327687198       0.73723654691929896       0.45320738554545498     1
 ceco           9           1           4           7           6           5  0.70512820512820495             3700        2000        1200         400         130          30          90         120           1           1           0           2           9          11           2  0.42419416058742598       0.11146543072911400        9.0000000000000000       0.18913105350693499        7.2506675574293300E-002  0.29638021541334902        8.1881891600521006E-002   1.0855630052232199E-002   7.2506675574293300E-002  0.31333571021960599       0.12346354521881500       0.42516347193835602       0.43814839382037102       0.39221585865944403       0.48453186566579698       0.46042425358507799       0.29284708903330398       0.31375353093895803       0.51896101562229502       0.30297722406575500       0.55122008001663203       0.53544119868079498       0.68483814467034998       0.31100822848481002       0.38964338953207800       0.24257046589324999       0.56273610210511704       0.51007647771798004       0.74651085777723203       0.11045224544842901       0.32566961948309803       0.13416446839113699       0.34164139704108498       0.32675210949540900       0.51840269434066599       0.31052559667780300       0.61982543977131099       0.40188169437810800       0.34846384695319399       0.37163711511290298       0.49283127063123400       0.37856392354233598       0.59049980778925903       0.31440736130337898       0.60644114586677700       0.19009544444088800       0.39559873362572001       0.44407757694240801       0.40431074423244401     2
 dehy          10           1           4           8           7           6  0.70512820512820495             1300        1000         800         600         470          32          88         110           1           1           0           2          10           9           2  0.69298115310095199       0.29894522109882399        10.000000000000000       0.14937583884441299       0.10532516813251000       0.18309927818102600       0.11565239950780000        1.4505671984478000E-002  0.10532516813251000       0.35405352250508498        6.2653122100091704E-002  0.47522394760053699       0.50541212611773401       0.44489653207445201       0.14144698084574001       0.29708581546426999       0.18228050278409400       0.11600543483995999       0.19832821858568200        0.0000000000000000       0.17574002709976400       0.16907468584536500       0.18953351870366900       0.18066256031776501       0.23913807524615499        8.8992659923418801E-002  0.41326797175955199       0.44563521785859200       0.41481840768013600        4.8374502564151302E-002  0.18022269026243101        2.1812763814838800E-002  0.21794601231211400       0.25847538658975999       0.36685166116126799       0.33532003935209098       0.71839169390073399       0.73741912179025504       0.73525152808668404       0.69325921957667402       0.93824531589927196       0.10477788447521399       0.17811607721626599       0.16959776516244601       0.42457386576609302        8.3469985547140302E-002  0.28109102002104702       0.59704361834769304       0.78891868785421004     2
